,url,name,header,guests,bedrooms,beds,bathrooms,kitchen,wifi,free-parking,rating,review,Actual_price per,Total_price
0,/rooms/18763442?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=c94d217a-b677-4eb5-ad8a-1ae594ad998f,Entire rental unit in Schwendau,Haus Julia - Apartment Edelweiß Mayrhofen,4,2,2,2,1,1,1,4.92,39,10374,47271
1,/rooms/2832898?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=c94d217a-b677-4eb5-ad8a-1ae594ad998f,Entire rental unit in Mayrhofen,Apartment Partoll Top 1,5,2,4,2,1,1,1,4.91,33,15829,71566
2,/rooms/17490440?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=c94d217a-b677-4eb5-ad8a-1ae594ad998f,Entire home in Mayrhofen,Margit (MHO786) for 5 persons.,5,1,3,1,1,1,0,5,4,6643,26570
3,/rooms/38367500?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=c94d217a-b677-4eb5-ad8a-1ae594ad998f,Entire rental unit in Mayrhofen,Apart Matthias*** - Apartment Cherry,4,2,2,2,1,1,1,4.75,4,15678,70140
4,/rooms/17486240?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=c94d217a-b677-4eb5-ad8a-1ae594ad998f,Entire rental unit in Mayrhofen,Ratschnhäusl (MHO586) for 5 persons.,5,2,3,1,1,1,0,4.67,15,9634,38535
5,/rooms/44670337?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=c94d217a-b677-4eb5-ad8a-1ae594ad998f,Entire rental unit in Mayrhofen,Apartments Mair  Apartment Markus,4,1,5,1,1,1,1,5,9,14234,56937
6,/rooms/43969622?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=c94d217a-b677-4eb5-ad8a-1ae594ad998f,Entire rental unit in Finkenberg,Apartment Schmalzl - Terrace,4,2,4,1,1,1,1,4.76,17,10533,47083
7,/rooms/38007169?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=c94d217a-b677-4eb5-ad8a-1ae594ad998f,Entire rental unit in Finkenberg,Cosy Apartment with mountain view,4,2,2,1,1,1,0,4.88,8,12446,55558
8,/rooms/24763898?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=c94d217a-b677-4eb5-ad8a-1ae594ad998f,Entire rental unit in Schwendau,House Klammtal - for 4 persons,4,2,3,1,1,1,1,5,6,9265,40773
9,/rooms/20925986?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=c94d217a-b677-4eb5-ad8a-1ae594ad998f,Entire rental unit in Mayrhofen,Also for 4 persons.,4,1,3,1,1,1,0,4.75,8,9098,36390
